,S0,K,V0,T,r,n,m,closed_solution,mc_price,ST
36,2,2.5,0.07,1,0,250,62500,-0.012608454260962215,0.36466113783847565,"[-2.43993726e-09  1.21436141e-08 -3.43601234e-09 ...  4.16907551e-06
 -5.96990247e-05  6.98277666e-09]"
37,2,2.5,0.07,1,0.05,250,62500,-0.017418782854347725,0.34687640428386873,"[-2.43993726e-09  1.21436141e-08 -3.43601234e-09 ...  4.16907551e-06
 -5.96990247e-05  6.98277666e-09]"
38,2,2.5,0.07,1,0,400,160000,-0.012608454260962215,0.012009541390590003,"[ 6.40707482e-14 -3.97150293e-10  2.60161526e-07 ...  1.42590450e-11
  2.77205563e-10 -1.62666234e-12]"
39,2,2.5,0.07,1,0.05,400,160000,-0.017418782854347725,0.011423829145488434,"[ 6.40707482e-14 -3.97150293e-10  2.60161526e-07 ...  1.42590450e-11
  2.77205563e-10 -1.62666234e-12]"
40,2,2.5,0.07,2,0,250,62500,-0.13050435117853332,0.16809933547248354,"[-1.35653397e-14  2.80828684e-06  1.52968035e-11 ...  1.92954748e-09
  6.17711040e-08  7.16949217e-16]"
41,2,2.5,0.07,2,0.05,250,62500,-0.022401703136440188,0.1521025686824826,"[-1.35653397e-14  2.80828684e-06  1.52968035e-11 ...  1.92954748e-09
  6.17711040e-08  7.16949217e-16]"
42,2,2.5,0.07,2,0,400,160000,-0.13050435117853332,9.187028547903582e-05,"[ 2.17695773e-15 -4.72916138e-19 -1.06750778e-12 ... -3.03926822e-21
 -6.82161092e-20  1.11645110e-27]"
43,2,2.5,0.07,2,0.05,400,160000,-0.022401703136440188,8.312767190707728e-05,"[ 2.17695773e-15 -4.72916138e-19 -1.06750778e-12 ... -3.03926822e-21
 -6.82161092e-20  1.11645110e-27]"
44,2,2.5,0.07,5,0,250,62500,-0.17189659152680736,0.17283284733858625,"[-4.10320710e-16  1.06008107e-15  2.54824437e-10 ...  4.57776642e-14
 -1.28293521e-06 -3.11336453e-13]"
45,2,2.5,0.07,5,0.05,250,62500,0.12470300177605498,0.13460235684775154,"[-4.10320710e-16  1.06008107e-15  2.54824437e-10 ...  4.57776642e-14
 -1.28293521e-06 -3.11336453e-13]"
46,2,2.5,0.07,5,0,400,160000,-0.17189659152680736,9.818140336185192e-05,"[ 6.06096852e-22 -5.98546180e-18  3.30881948e-30 ... -2.13246543e-20
 -8.20132978e-18 -2.99894034e-10]"
47,2,2.5,0.07,5,0.05,400,160000,0.12470300177605498,7.646375382125974e-05,"[ 6.06096852e-22 -5.98546180e-18  3.30881948e-30 ... -2.13246543e-20
 -8.20132978e-18 -2.99894034e-10]"
