,S0,K,V0,T,r,n,m,closed_solution,mc_price,ST_std
20,2.0,1.5,0.07,5.0,0.0,250.0,62500.0,0.5444029009813744,0.5684765361326962,0.6598968585781212
21,2.0,1.5,0.07,5.0,0.0,400.0,160000.0,0.5444029009813744,0.5670644545359282,0.6504660205275589
22,2.0,1.5,0.07,5.0,0.05,250.0,62500.0,0.9305388675216829,0.8503594367510598,0.8439039538675618
23,2.0,1.5,0.07,5.0,0.05,400.0,160000.0,0.9305388675216829,0.8473187178680639,0.8350369889784689
24,2.0,2.5,0.01,1.0,0.0,250.0,62500.0,-0.013952453571114354,0.0021630892891627744,0.2601996352497442
25,2.0,2.5,0.01,1.0,0.0,400.0,160000.0,-0.013952453571114354,0.0021654255575916347,0.2594370187018333
26,2.0,2.5,0.01,1.0,0.05,250.0,62500.0,-0.06521479818787171,0.006669576338241842,0.2749369462089278
27,2.0,2.5,0.01,1.0,0.05,400.0,160000.0,-0.06521479818787171,0.006420935666278549,0.2730009508287046
28,2.0,2.5,0.01,2.0,0.0,250.0,62500.0,-0.16647481690774013,0.01691508552142251,0.3794060514189763
29,2.0,2.5,0.01,2.0,0.0,400.0,160000.0,-0.16647481690774013,0.016219303618777447,0.3780374162751707
30,2.0,2.5,0.01,2.0,0.05,250.0,62500.0,-0.05302906087175829,0.05347379354830803,0.41870682498611445
31,2.0,2.5,0.01,2.0,0.05,400.0,160000.0,-0.05302906087175829,0.053337476930354594,0.418222643264699
32,2.0,2.5,0.01,5.0,0.0,250.0,62500.0,-0.17822920013612897,0.08853855252269988,0.6316430850332695
33,2.0,2.5,0.01,5.0,0.0,400.0,160000.0,-0.17822920013612897,0.08456191883975459,0.6208338588564234
34,2.0,2.5,0.01,5.0,0.05,250.0,62500.0,0.10890488424103462,0.27616433462948226,0.8150591626924332
35,2.0,2.5,0.01,5.0,0.05,400.0,160000.0,0.10890488424103462,0.2714645361586329,0.7986460093982822
36,2.0,2.5,0.07,1.0,0.0,250.0,62500.0,-0.012608454260962049,0.00753246451703314,0.32151741590170074
